gene_name,max_abs_log2FC,weighted_mean_abs_log2FC,n_groups_significant,detected_in_male,detected_in_female,sex_specificity
Kansl2,0.3569299055758014,0.23754652766918066,0,False,False,neither
Kansl3,0.1761335725548052,0.10995412158465222,0,False,False,neither
Kantr,0.6763920226606246,0.3766126043010768,1,True,False,male_only
Kap,0.06527760576564867,0.052203566045297106,0,False,False,neither
Kars,0.21436615701222397,0.10065794151851708,0,False,False,neither
Kat2a,0.17339022614097813,0.1259423855181135,0,False,False,neither
Kat2b,0.32569874473218596,0.22286439167873628,0,False,False,neither
Kat5,0.26451430792432606,0.1478459937814735,0,False,False,neither
Kat6a,0.12543582987949872,0.08640473327962127,0,False,False,neither
Kat6b,0.16022244653897255,0.04515695496162306,0,False,False,neither
Kat7,0.21198927118243185,0.10081424399087816,0,False,False,neither
Kat8,0.2701507859156026,0.17577758764381346,0,False,False,neither
Katna1,0.1708864501269122,0.11533060262048922,0,False,False,neither
Katnal1,0.08412413752039505,0.05168518968689805,0,False,False,neither
Katnal2,0.3097817185084862,0.24534734362564575,0,False,False,neither
Katnb1,0.33881438470075964,0.17353807003541152,0,False,False,neither
Katnbl1,0.3578043098389522,0.16500601393910136,0,False,False,neither
Kazald1,0.22664926023655843,0.13279801472627928,0,False,False,neither
Kazn,0.17983541425852623,0.1553232385302371,0,False,False,neither
Kbtbd11,0.07078175848483563,0.04361230259727392,0,False,False,neither
Kbtbd12,0.32355298898827806,0.19420797025415637,0,False,False,neither
Kbtbd13,0.44257101352198025,0.2615624234329985,0,False,False,neither
Kbtbd2,0.08741428846612484,0.07465873946454857,0,False,False,neither
Kbtbd3,0.32057752293672914,0.13495729051138977,0,False,False,neither
Kbtbd4,0.14726275490243562,0.0675739464846816,0,False,False,neither
Kbtbd6,0.2373463795713227,0.13810749209316422,0,False,False,neither
Kbtbd7,0.293690616911456,0.10033382818579688,0,False,False,neither
Kbtbd8,0.2880605781572291,0.20744635059233335,0,False,False,neither
Kbtbd8os,0.12657652675692904,0.08721127869068443,0,False,False,neither
Kcmf1,0.17175777924244334,0.09070226222040528,0,False,False,neither
Kcna1,0.11156551271723157,0.06772553928231193,0,False,False,neither
Kcna10,0.10144421614011834,0.04959288054934132,0,False,False,neither
Kcna2,0.21885359612680266,0.12161985930319752,0,False,False,neither
Kcna3,0.177816293289998,0.08798334689904772,0,False,False,neither
Kcna4,0.49752899880665236,0.24189843095945157,0,False,False,neither
Kcna5,0.11226608532482833,0.08394339911305482,0,False,False,neither
Kcna6,0.31043991574914903,0.13576122621950926,0,False,False,neither
Kcna7,0.13411657702446,0.08947401726620248,0,False,False,neither
Kcnab1,0.34468785734782015,0.16498398264004532,0,False,False,neither
Kcnab2,0.37248727376320934,0.15911229858347856,0,False,False,neither
Kcnab3,0.31993151441341017,0.11198879057325446,0,False,False,neither
Kcnb1,0.2742282494686505,0.1454654662597586,0,False,False,neither
Kcnb2,0.32132123678305474,0.1322500806931624,0,False,False,neither
Kcnc1,0.3080179863015945,0.14730362684139156,0,False,False,neither
Kcnc2,0.2898251064939532,0.2089518782746055,0,False,False,neither
Kcnc3,0.3871860734777035,0.23152344171200698,0,False,False,neither
Kcnc4,0.292755096277471,0.17227204286294218,0,False,False,neither
Kcnd1,0.30234301350854986,0.2108553409866875,0,False,False,neither
Kcnd2,0.3968900663928522,0.23397000258752582,0,False,False,neither
Kcnd3,0.2735934360085813,0.1509991628537565,0,False,False,neither
Kcnd3os,1.3864685398230414,0.342642489648009,1,False,True,female_only
Kcne1,0.13092798381307064,0.09436923611543964,0,False,False,neither
Kcne1l,0.2955449351145137,0.17659518251756534,0,False,False,neither
Kcne2,1.6185115332090843,0.6556329239057356,2,True,True,both
Kcne3,0.2292783781371785,0.10810663813050478,0,False,False,neither
Kcne4,0.37412640182710516,0.176647847039984,0,False,False,neither
Kcnf1,0.3732484347308167,0.14180291699351041,0,False,False,neither
Kcng1,0.3310921660942032,0.22202719976409996,0,False,False,neither
Kcng3,0.11318099150478408,0.0739433527045478,0,False,False,neither
Kcng4,0.2834796225164412,0.13241273621295946,0,False,False,neither
Kcnh1,0.20437983959047248,0.12813183366708752,0,False,False,neither
Kcnh2,0.5058863518184934,0.2452497610091553,1,False,True,female_only
Kcnh3,0.4648630480185052,0.20804669257948094,0,False,False,neither
Kcnh5,0.21914956537907776,0.15056774370750522,0,False,False,neither
Kcnh6,0.2642944525347657,0.09283107785034574,0,False,False,neither
Kcnh7,0.7566066641623347,0.22429037758102768,1,True,False,male_only
Kcnh8,0.19795901760661536,0.10879825168314324,0,False,False,neither
Kcnip1,0.16368087253978444,0.12062121617792813,0,False,False,neither
Kcnip2,0.6114031442647485,0.2502214619167336,1,False,True,female_only
Kcnip3,0.36242706847075523,0.2255757178062268,0,False,False,neither
Kcnip4,0.2011964478386393,0.11174233822784618,0,False,False,neither
Kcnj1,0.26383298544353734,0.178003023956604,0,False,False,neither
Kcnj10,0.37276992271528075,0.22345653113297398,0,False,False,neither
Kcnj11,0.12008774759037712,0.06380888055436591,0,False,False,neither
Kcnj12,0.2315078162185761,0.11673611300912581,0,False,False,neither
Kcnj13,0.42795273208213064,0.22202535523701367,0,False,False,neither
Kcnj14,0.3015538886539709,0.20078645682076404,0,False,False,neither
Kcnj15,0.4361597852919795,0.2237041190361188,0,False,False,neither
Kcnj16,0.4459723472475467,0.15060570297901418,0,False,False,neither
Kcnj2,0.2623423636982974,0.1773910446329996,0,False,False,neither
Kcnj3,0.3952540182509307,0.23908812786075706,0,False,False,neither
Kcnj4,0.16500132285338132,0.07635782160156113,0,False,False,neither
Kcnj5,0.3106800668274341,0.22685781236232208,0,False,False,neither
Kcnj6,0.42372500227308163,0.2188875318399276,0,False,False,neither
Kcnj8,0.47891225766686885,0.2485524939966833,0,False,False,neither
Kcnj9,0.2223612990044859,0.13365590781485548,0,False,False,neither
Kcnk1,0.34128298548062724,0.2280797455639625,0,False,False,neither
Kcnk10,0.22531371772496323,0.1202784623032638,0,False,False,neither
Kcnk12,0.27323448541419837,0.1433852884005206,0,False,False,neither
Kcnk13,0.5576581091138783,0.20123619418578725,1,True,False,male_only
Kcnk15,0.3134160985533692,0.14263985712174593,0,False,False,neither
Kcnk18,0.1996410128211536,0.11560868003315156,0,False,False,neither
Kcnk2,0.18845983067206015,0.13788180400646582,0,False,False,neither
Kcnk3,0.17594351834327218,0.1396832420685274,0,False,False,neither
Kcnk4,0.2211787399103153,0.1525082679309367,0,False,False,neither
Kcnk5,0.42024133474509184,0.22747231494555117,0,False,False,neither
Kcnk6,0.6619928644447423,0.49007951809182704,1,True,False,male_only
Kcnk7,0.1173937537836456,0.0875024134176878,0,False,False,neither
Kcnk9,0.11791591638277107,0.06550674625494018,0,False,False,neither
Kcnma1,0.3118140831883578,0.24831760778697026,0,False,False,neither
Kcnmb1,0.3412685197597896,0.20082537125086747,0,False,False,neither
Kcnmb2,0.19755861109502976,0.10042963704300815,0,False,False,neither
Kcnmb4,0.4037677511977454,0.152143854748329,0,False,False,neither
Kcnmb4os1,0.15454091553159327,0.10920340336412884,0,False,False,neither
Kcnmb4os2,0.3592372510030827,0.22709639873281956,0,False,False,neither
