gene_name,fit_type,R2,R2_linear,coeff_0,coeff_1,coeff_2
Zfp608,linear,0.9862550034866281,0.9862550034866281,0.001394679508488964,0.03621115167232596,
Plxnb2,quadratic,1.0,0.2914940965491184,0.0001682264805860806,-0.00047410682454212416,0.014278823499999996
Tab2,quadratic,1.0,0.6616674873985956,-0.00024325686721611737,0.002163947658424906,0.099949636
Ankhd1,quadratic,1.0,0.03314476406178468,-0.0008632208964285718,-0.0007291393464285713,0.18916227000000002
Unc5d,quadratic,1.0,0.8972980966433999,0.00012514897692307683,-0.0026779815461538464,0.047532257
Exoc4,quadratic,1.0,0.0400484661187801,-0.001859183406410258,-0.0012852995628205195,0.41236597000000014
Nras,quadratic,1.0,0.00014593059371870165,-0.00046184784771062293,-0.0011213926489926761,0.09503884000000003
Hipk3,linear,0.9950501595285971,0.9950501595285971,0.0012895911587436331,0.03585636377249575,
Tsc2,quadratic,1.0,0.5084829768797146,-0.00021060206318681353,-0.002210575947802198,0.08314854000000003
Gnl3l,quadratic,1.0,0.054414240600960784,-0.0003739666684981687,-0.0015919316941391964,0.12099089500000001
Cux1,quadratic,1.0,0.04097239419269072,-0.0007610828637179493,-0.000511234002435899,0.16656391000000004
Nsg1,quadratic,1.0,0.0008849074685397529,-0.001837215380952382,-0.004721621047619055,0.43285498
Ctnnd2,quadratic,1.0,0.5984282334876588,-4.655231227106237e-05,-0.0005647360173992676,0.041080724000000006
Copg1,quadratic,1.0,0.008230055559697358,-0.0004041225521978024,-0.0012375782829670326,0.09316365999999997
Heatr5b,quadratic,1.0,0.7783944409728139,5.835959706959692e-05,0.0010141116227106223,0.03837964700000001
Cyp51,quadratic,1.0,0.3371310680378389,9.682473131868127e-05,-0.00032863943021978046,0.024408247000000008
Camta2,quadratic,1.0,0.5977653039653242,0.000170957243956044,0.002071610059340659,0.013669354999999992
Mkl2,quadratic,1.0,0.07925994966508931,-0.00030513710457875465,7.42689798534725e-06,0.07491743999999997
Dnajc13,quadratic,1.0,0.004622247417739533,-0.0006099543333333338,-0.001755531966666669,0.12632617000000007
Topbp1,quadratic,1.0,0.1221544449362234,-0.0012044998067765576,-0.006414890434981688,0.3004645400000001
Atp6v0b,quadratic,1.0,6.596771165989779e-06,-0.00043400178699633734,-0.001002739538278391,0.09120616000000006
Rcbtb1,quadratic,1.0,0.20484844554912862,-0.0001519233071428572,-0.000973191007142858,0.05445217700000001
Elavl2,quadratic,1.0,0.22263011366402996,-3.0296514835164818e-05,5.953707747252694e-05,0.038730413000000005
Ssr3,quadratic,1.0,0.005285892644471102,-0.0005048653605311359,-0.0008814197746337022,0.10121503000000004
Rab1a,quadratic,1.0,0.008656749903163674,-0.0008094273928571433,-0.0024940588928571462,0.19843780000000005
Syp,quadratic,1.0,0.05349898967271216,-0.0003264564212454216,-0.001384074985347986,0.07836457000000004
