gene_name,slope_divergence_E15,slope_divergence_P0,slope_divergence_P13,predicted_divergence_P3,predicted_divergence_P7,fit_type,R2,R2_linear,CI_lower_P3,CI_upper_P3,CI_lower_P7,CI_upper_P7,rank_score_P3,rank_score_P7
Rps2,0.07249421,0.49530384,0.013472505,0.45402405508241767,0.3337330843461539,quadratic,1.0,0.005076684267391385,0.45402405508241755,0.45402405508241794,0.3337330843461538,0.3337330843461541,0.45402405508241767,0.3337330843461539
Prkcg,0.14531262,0.35795066,0.07094924,0.33056195769230773,0.2577907863076923,quadratic,1.0,0.04389666279109816,0.33056195769230756,0.33056195769230784,0.25779078630769214,0.2577907863076924,0.33056195769230773,0.2577907863076923
Hnrnpa0,0.051830057,0.5220971,0.06543954,0.487941701313187,0.3759225289153847,quadratic,1.0,0.004434471540484264,0.4879417013131868,0.4879417013131873,0.37592252891538447,0.3759225289153849,0.487941701313187,0.3759225289153847
Ncam2,0.17521954,0.34926257,0.057539966,0.3184166858351649,0.24324577130769232,quadratic,1.0,0.13163864988302743,0.3184166858351648,0.3184166858351651,0.24324577130769215,0.2432457713076924,0.3184166858351649,0.24324577130769232
Csmd3,0.15861072,0.43337342,0.007648008,0.3898422605274727,0.28073509261538465,quadratic,1.0,0.09660102291239181,0.38984226052747256,0.38984226052747306,0.28073509261538443,0.280735092615385,0.3898422605274727,0.28073509261538465
Ahcyl2,0.18423204,0.34371102,0.05408145,0.3121353515934067,0.23712333069230773,quadratic,1.0,0.16924716789568095,0.3121353515934066,0.31213535159340694,0.2371233306923076,0.2371233306923079,0.3121353515934067,0.23712333069230773
Aig1,0.17432523,0.3816493,0.054866318,0.3479793681098902,0.2641273684615385,quadratic,1.0,0.10400941727093316,0.34797936810989005,0.3479793681098905,0.2641273684615383,0.2641273684615387,0.3479793681098902,0.2641273684615385
Grm7,0.06851233,0.48194584,0.019339183,0.4428483448956045,0.32757098996153844,quadratic,1.0,0.003099446331902511,0.4428483448956044,0.4428483448956049,0.32757098996153833,0.3275709899615387,0.4428483448956045,0.32757098996153844
Ptprn2,0.30281824,0.26419708,0.0020342823,0.222546142539011,0.14941993420384614,quadratic,1.0,0.81350676667226,0.22254614253901095,0.22254614253901125,0.14941993420384606,0.1494199342038463,0.222546142539011,0.14941993420384614
Syne1,0.13253008,0.4261855,0.0009668026,0.38407899247362665,0.27565082386923095,quadratic,1.0,0.06897719058431728,0.38407899247362637,0.38407899247362703,0.27565082386923057,0.27565082386923123,0.38407899247362665,0.27565082386923095
Grm5,0.15700336,0.37581006,0.028140623,0.3398617759395605,0.25059981434615386,quadratic,1.0,0.10754039229165446,0.33986177593956046,0.3398617759395607,0.25059981434615375,0.25059981434615397,0.3398617759395605,0.25059981434615386
A830018L16Rik,0.25950104,0.29109463,0.0011397195,0.2503360260796704,0.17158075763461542,quadratic,1.0,0.6199323813200388,0.25033602607967037,0.2503360260796706,0.17158075763461533,0.17158075763461558,0.2503360260796704,0.17158075763461542
Cacna1g,0.082676575,0.4552071,0.020399898,0.4173120580824177,0.30850325934615386,quadratic,1.0,0.008368019369286994,0.4173120580824176,0.4173120580824181,0.3085032593461537,0.3085032593461542,0.4173120580824177,0.30850325934615386
Tnr,0.18188885,0.2900373,0.07833746,0.2663561690659341,0.21128682807692306,quadratic,1.0,0.20498190101521696,0.266356169065934,0.2663561690659343,0.21128682807692295,0.21128682807692323,0.2663561690659341,0.21128682807692306
Cacna1b,0.085439816,0.42950583,0.031200955,0.39499278910439567,0.2953988304384615,quadratic,1.0,0.007150460301561301,0.39499278910439556,0.39499278910439606,0.2953988304384614,0.2953988304384618,0.39499278910439567,0.2953988304384615
Nrxn3,0.14741305,0.37214807,0.03573315,0.3382928635164836,0.25229218276923077,quadratic,1.0,0.08217491127123844,0.33829286351648347,0.3382928635164838,0.2522921827692306,0.25229218276923093,0.3382928635164836,0.25229218276923077
Rpl7a,0.054092262,0.3722758,0.13045152,0.359128165021978,0.3017838814923076,quadratic,1.0,0.07276755537657986,0.3591281650219779,0.3591281650219783,0.3017838814923075,0.30178388149230784,0.359128165021978,0.3017838814923076
