gene_name,slope_MIA,slope_saline,slope_divergence,R2_MIA,R2_saline,R2_divergence
1110028F18Rik,-0.00015624924657695074,0.0,-0.00015624924657695074,0.26775956284153013,1.0,
1110032A03Rik,0.004271182961069566,-0.0071745189823300935,0.01144570194339966,0.11814654667734859,0.42863956150783844,
1110032F04Rik,0.036419603642693366,0.019454691106389668,0.016964912536303698,0.2866615196451031,0.2243784512754733,
1110034G24Rik,0.003898285836440334,-0.008140856853344315,0.012039142689784649,0.012416378006428253,0.12454193883658571,
1110036E04Rik,0.0,-8.185903603191567e-05,8.185903603191567e-05,1.0,0.13661202185792376,
1110037F02Rik,-0.019838528611253108,-0.034052664567271886,0.014214135956018777,0.40941888293344575,0.858462750039655,
1110038B12Rik,-0.036566181672748214,-0.032396954536487346,-0.004169227136260868,0.30994170316267944,0.7250585488907799,
1110038F14Rik,-0.030592818494275028,-0.04088896143213584,0.010296142937860814,0.8558930789693454,0.8437232820178314,
1110046J04Rik,0.011287939413708096,0.017123876841701743,-0.005835937427993647,0.2090706578288457,0.7515804166023952,
1110051M20Rik,0.008724928060203242,0.008613640917135736,0.0001112871430675056,0.16240344514467764,0.5951033125221672,
1110054M08Rik,-0.007382922457434589,-0.00948123026993376,0.002098307812499171,0.3301963876522971,0.5931993411455216,
1110057K04Rik,0.010121512044596596,0.0006836549089371904,0.009437857135659406,0.1631412655126505,0.01783173016732109,
1110058L19Rik,0.007135363087553023,-0.014228642730616897,0.02136400581816992,0.06779046962451396,0.2407311345596551,
1110059E24Rik,0.0007782602992218019,-0.01719360230556243,0.01797186260478423,0.001981194182180235,0.4634326405346053,
1110059G10Rik,0.02749434515165553,0.011564935590921569,0.015929409560733958,0.6387602800656125,0.19195660095653444,
1110065P20Rik,0.01989718901101739,0.010290794318965782,0.00960639469205161,0.07944619954176912,0.04918134011182762,
1190002F15Rik,-0.10482113195565985,-0.1321658628520039,0.027344730896344052,0.7767175548094429,0.982382914652634,
1190002N15Rik,-0.038621377625168374,-0.03770671381573332,-0.0009146638094350568,0.7994583400106832,0.9963100949902068,
1190003K10Rik,0.0017911580410537179,0.00033865533876494626,0.0014525027022887717,0.9983520878183726,0.9234972677595629,
1190005I06Rik,0.05496694404389658,0.06398181271358361,-0.00901486866968703,0.32241748378152646,0.5769929897864876,
1190007I07Rik,-0.03028960528507672,-0.03578521516744674,0.005495609882370019,0.339369743075564,0.525390426205339,
1200014J11Rik,-0.022296542419162013,-0.030380027795417562,0.008083485376255549,0.6302338968581404,0.8156809055135035,
1300002E11Rik,-0.0028137422905020557,-0.01897619159418747,0.016162449303685412,0.003646451392479655,0.1984679919287855,
1300002K09Rik,-0.013807008256234156,-0.008254066605971541,-0.005552941650262615,0.13053334610709144,0.03688601169200734,
1300017J02Rik,-0.020686090488814667,-0.02160548632945894,0.0009193958406442729,0.1834211776889435,0.29417741654270757,
1500004A13Rik,-0.025867923481897565,-0.03286174013374421,0.006993816651846646,0.503463535296926,0.9497747629856683,
1500009C09Rik,0.038623459433440706,0.0462064105195625,-0.007582951086121795,0.22549390695959803,0.4409921899980014,
1500009L16Rik,0.03325476260469547,0.029111161312284528,0.0041436012924109394,0.5987509877290469,0.878052248449225,
1500011B03Rik,0.0252671792182359,0.013494451108431973,0.011772728109803926,0.14129409204127885,0.168203318970089,
1500011K16Rik,0.030362482533830313,0.011102098006099393,0.01926038452773092,0.3172885291504054,0.3377472868020708,
1500012F01Rik,-0.00293392108095224,-0.0063300212184246194,0.0033961001374723794,0.0083522202202706,0.058704956355038806,
1500012K07Rik,0.001687625409495921,0.0028140256700197354,-0.0011264002605238144,0.7033488834386363,0.9421750811867157,
1500015A07Rik,0.010064465206582919,0.00010904206983708622,0.009955423136745833,0.06835659356322632,1.5776572562020696e-05,
1500015L24Rik,0.0003522008660469275,-5.994577194963895e-05,0.00041214663799656645,0.9234972677595629,0.13661202185792354,
1500015O10Rik,0.038392502265926436,0.015019792676398908,0.02337270958952753,0.12973878378792947,0.01991832644346525,
1500017E21Rik,0.00517491308967307,0.0058265439041482545,-0.0006516308144751846,0.8417338218554047,0.8390103923436316,
1600002D24Rik,-0.0003589405541808063,-0.0005353262367543459,0.00017638568257353956,0.01767386465532428,0.15052907174652064,
1600002H07Rik,-0.02389719340788575,-0.03808190623365696,0.01418471282577121,0.6656026064597185,0.8512126601649632,
