stream1_rank,gene_name,slope_MIA,slope_saline,slope_divergence,R2_MIA,R2_saline,R2_divergence,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0,max_abs_log2FC,stream1_score
52,Eme1,-0.1355893411000444,-0.1608714905177122,0.0252821494176678,0.6255618257630403,0.9283969971624224,,-0.0753890009874296,-0.4868663188093258,-1.373465090526397,0.1799462530075056,1.373465090526397,0.034724149638639
53,1190002F15Rik,-0.1048211319556598,-0.1321658628520039,0.027344730896344,0.7767175548094429,0.982382914652634,,-0.0150775782289282,-0.7855492148503178,-1.2688745530845424,0.1474773866603807,1.2688745530845424,0.03469703319531557
54,Cdca7,-0.0864301015203379,-0.1159898283827819,0.029559726862444,0.656469373917502,0.993619993951181,,-0.1697211104672784,-0.4376165030869019,-1.1735197559921644,0.2503467548594056,1.1735197559921644,0.03468892345481031
55,Top2a,-0.1321779326522024,-0.1517805908211799,0.0196026581689774,0.5983014620291622,0.97015537055423,,-0.0647221347570732,-0.4475794776150957,-1.7342575200089634,0.0577038856118814,1.7342575200089634,0.033996057341714195
56,Ak4,-0.087606363118605,-0.0583335754573383,-0.0292727876612667,0.4845925502081729,0.7991736838895671,,1.1559019237316135,-0.3179023949771606,-0.0170533107023144,-0.0956656879065743,1.1559019237316135,0.03383647157064522
57,Clspn,-0.132161116762113,-0.1529229049012831,0.02076178813917,0.6123078274263211,0.9589212902755968,,-0.0779803283161572,-0.289217745486591,-1.6289295832356012,0.1431157968761293,1.6289295832356012,0.03381949090076404
58,Casc5,-0.1127481174880546,-0.1367091251381076,0.023961007650053,0.5209285900345659,0.9074717000937566,,-0.146330120339572,-0.3735339039829095,-1.409855509713863,0.15570663482977,1.409855509713863,0.033781558653723245
59,Bub1b,-0.1380101307702957,-0.1593291021570742,0.0213189713867784,0.7039910207678118,0.9797983914056926,,-0.0766532020036528,-0.5094239088578432,-1.5810002942342238,0.0741382649016386,1.5810002942342238,0.03370530003526765
60,Guca2b,-0.0320961141299091,-0.0019535220215923,-0.0301425921083168,0.3108511262792343,0.3270997822973135,,1.1150928592679106,0.0001870517515421,-0.0788493001917236,-0.017715846059894,1.1150928592679106,0.033611789219809333
61,Inhba,0.0841490138169155,0.1199317702491904,-0.0357827564322748,0.6141645239362339,0.9069607481259686,,0.7136643374768259,0.3203333449469999,0.9318483660514184,-0.1475349467992967,0.9318483660514184,0.03334410311423115
62,Grm3,0.1449934569239447,0.1640156815973601,-0.0190222246734154,0.5635414095025822,0.9588602158449152,,-0.275773321862946,0.475154500423363,1.749227289531743,-0.2175024404264062,1.749227289531743,0.03327419450634227
63,Atad2,-0.1270371976672902,-0.1506808362804492,0.0236436386131589,0.6517758663995827,0.9741536123996544,,-0.0844613579894995,-0.2770887260874425,-1.4001889889507135,0.2204131066809574,1.4001889889507135,0.03310556244487501
64,Sox3,-0.1676541850163402,-0.185326305450869,0.0176721204345288,0.734310983451615,0.9499409862691944,,-0.0401032558630477,-0.612026024851125,-1.860945101474165,-0.0412403909932898,1.860945101474165,0.032886845955297866
65,Cdc6,-0.1258317162002242,-0.1477965153727819,0.0219647991725576,0.6590071710933704,0.9400402952331254,,-0.3216207962764073,-0.454846451401343,-1.4867605766680605,-0.0164108966016714,1.4867605766680605,0.03265639748418987
66,Btg2,-0.1038767399088381,-0.1302067035026237,0.0263299635937856,0.7518277137371618,0.9914914966620404,,-0.2858347916932421,-0.4248457803217311,-1.236961444815419,0.1222633736977931,1.236961444815419,0.03256914980890641
67,Kif23,-0.1188040268189633,-0.1406103259548113,0.021806299135848,0.6297594785601872,0.9812411578578674,,-0.030037863954236,-0.2796316355375354,-1.4918169500403025,0.2043777288984549,1.4918169500403025,0.03253100666850725
68,Prc1,-0.1214707018770319,-0.1438666248332654,0.0223959229562335,0.6610355156867266,0.9793293228148798,,-0.0729950481022823,-0.4753487332543546,-1.4483130765353025,0.1212920799037161,1.4483130765353025,0.032436308078590145
69,Wee1,-0.1139522361296062,-0.1381371764515897,0.0241849403219834,0.6869123423125112,0.9599708131097368,,-0.117260155672514,-0.4890476129360921,-1.339795664384994,0.136868345048992,1.339795664384994,0.03240287818680318
70,Exo1,-0.131974420509665,-0.1577117614036,0.025737340893935,0.631010547759827,0.905987362735956,,-0.2257530537764886,-0.5511102656346922,-1.252353467879037,0.0928324125334536,1.252353467879037,0.03223224812250445
71,Spag5,-0.1184538522752225,-0.1402910998563506,0.0218372475811281,0.6055990469350401,0.9798561943854266,,0.1657501603971398,-0.2062673425527604,-1.4741176884115477,0.3400090900409973,1.4741176884115477,0.03219067292556322
