combined_rank,gene_name,rank_s1,stream1_score,rank_s2,stream2_score,combined_score,evidence
71,Fam221b,201.0,,37.0,0.6343016057264438,0.01600107570256824,kalish_only
72,Ppp1r3g,37.0,0.0405401568193309,201.0,,0.01600107570256824,canales_only
73,Igkv6-25,201.0,,38.0,0.633619489945373,0.01564545692589683,kalish_only
74,Kif15,38.0,0.0389982785466633,201.0,,0.01564545692589683,canales_only
75,Islr,201.0,,39.0,0.6288133647893425,0.015308075009567546,kalish_only
76,Asf1b,39.0,0.0389203985451921,201.0,,0.015308075009567546,canales_only
77,Sostdc1,201.0,,40.0,0.6274727804764143,0.014987562189054726,kalish_only
78,Ttk,40.0,0.0384942509452036,201.0,,0.014987562189054726,canales_only
79,Fmod,149.0,0.0262831862697724,43.0,0.6220075925392217,0.014983611674730763,both_streams
80,Dbx1,41.0,0.038379780346809,201.0,,0.014682684140274238,canales_only
81,Lrrc23,201.0,,41.0,0.626213178272505,0.014682684140274238,kalish_only
82,Lgals1,201.0,,42.0,0.6233099897943163,0.01439232409381663,kalish_only
83,Ndc80,42.0,0.0377056183601394,201.0,,0.01439232409381663,canales_only
84,Kcnj2,43.0,0.0371732270635232,201.0,,0.014115469165798911,canales_only
85,Brca1,44.0,0.0369623430279184,201.0,,0.01385119855269109,canales_only
86,Cmbl,201.0,,44.0,0.6139436756476057,0.01385119855269109,kalish_only
87,Plk1,45.0,0.0365105151122336,201.0,,0.013598673300165839,canales_only
88,Clic6,201.0,,45.0,0.610379473488398,0.013598673300165839,kalish_only
89,Tbx18,201.0,,46.0,0.6070218427295377,0.01335712740644603,kalish_only
90,E330013P04Rik,46.0,0.0364770908391697,201.0,,0.01335712740644603,canales_only
91,Lyz2,201.0,,47.0,0.6005751733188726,0.013125860061395152,kalish_only
92,Esm1,47.0,0.0362027323610293,201.0,,0.013125860061395152,canales_only
93,Chek1,48.0,0.0360761124801429,201.0,,0.012904228855721393,canales_only
94,Osr1,201.0,,48.0,0.5992458330492957,0.012904228855721393,kalish_only
95,Dab2,201.0,,49.0,0.5905410196946846,0.012691643821707788,kalish_only
96,6330403A02Rik,49.0,0.0357194022368343,201.0,,0.012691643821707788,canales_only
97,Dhfr,50.0,0.0353562162610361,201.0,,0.012487562189054727,canales_only
98,Shcbp1,51.0,0.0352689893685156,201.0,,0.012291483757682176,canales_only
99,Syt13,201.0,,51.0,0.585151231970886,0.012291483757682176,kalish_only
100,Eme1,52.0,0.034724149638639,201.0,,0.012102946804439341,canales_only
101,Col6a1,201.0,,52.0,0.5762769448099406,0.012102946804439341,kalish_only
102,Cyp1a2,201.0,,53.0,0.5760934758886903,0.01192152445320567,kalish_only
103,1190002F15Rik,53.0,0.0346970331953155,201.0,,0.01192152445320567,canales_only
104,4930426D05Rik,201.0,,54.0,0.5753519374882907,0.011746821448313984,kalish_only
105,Cdca7,54.0,0.0346889234548103,201.0,,0.011746821448313984,canales_only
106,2610042L04Rik,201.0,,55.0,0.5723191344500655,0.011578471279963816,kalish_only
107,Top2a,55.0,0.0339960573417141,201.0,,0.011578471279963816,canales_only
108,Ak4,56.0,0.0338364715706452,201.0,,0.011416133617626154,canales_only
109,C1qb,201.0,,56.0,0.570869006305634,0.011416133617626154,kalish_only
110,Dyrk1a,201.0,,57.0,0.5701008680281957,0.011259492013616128,kalish_only
111,Clspn,57.0,0.033819490900764,201.0,,0.011259492013616128,canales_only
112,Gja1,201.0,,58.0,0.568482702108805,0.011108251844227139,kalish_only
113,Casc5,58.0,0.0337815586537232,201.0,,0.011108251844227139,canales_only
114,Bub1b,59.0,0.0337053000352676,201.0,,0.010962138460241168,canales_only
115,Wdr89,201.0,,59.0,0.5672075175059742,0.010962138460241168,kalish_only
116,Isg15,201.0,,60.0,0.5671595939269781,0.01082089552238806,kalish_only
117,Guca2b,60.0,0.0336117892198093,201.0,,0.01082089552238806,canales_only
118,C1qc,201.0,,61.0,0.5627792553464164,0.010684283500530137,kalish_only
119,Inhba,61.0,0.0333441031142311,201.0,,0.010684283500530137,canales_only
120,BC051077,201.0,,62.0,0.5625597088314958,0.010552078318086983,kalish_only
121,Grm3,62.0,0.0332741945063422,201.0,,0.010552078318086983,canales_only
122,Postn,201.0,,63.0,0.5553860283359516,0.010424070125562662,kalish_only
123,Atad2,63.0,0.033105562444875,201.0,,0.010424070125562662,canales_only
124,Nat8f3,201.0,,64.0,0.5538241031431098,0.010300062189054725,kalish_only
125,Sox3,64.0,0.0328868459552978,201.0,,0.010300062189054725,canales_only
126,Cdc6,65.0,0.0326563974841898,201.0,,0.010179869881362418,canales_only
127,Gm17087,201.0,,66.0,0.5524910940941222,0.010063319764812301,kalish_only
128,Btg2,66.0,0.0325691498089064,201.0,,0.010063319764812301,canales_only
129,Kif23,67.0,0.0325310066685072,201.0,,0.009950248756218905,canales_only
130,Dynlrb2,201.0,,67.0,0.5515473726368938,0.009950248756218905,kalish_only
131,Bmp7,201.0,,68.0,0.549411728545028,0.009840503365525315,kalish_only
