gene_name,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0
1110038B12Rik,0.7011134794392261,-0.2595796041473788,-0.3769155227710495,0.16401921893361407
1110038F14Rik,-0.14994648545075326,-0.12378952438056127,-0.40169557398528655,0.04984992101840553
1110046J04Rik,0.036790301691747955,-0.007570617422049804,0.3858703225156213,-0.07193962494201207
1110051M20Rik,-0.18468707667498663,-0.06987700622187774,0.10592910254068223,-0.11591416856692953
1110054M08Rik,-0.05484606267680539,-0.07538321778111455,-0.3508468358718992,-0.042900339932757985
1110057K04Rik,-0.37844217709653644,-0.29617772412750926,0.160930761252768,-0.11364110049843452
1110058L19Rik,-0.08591579994620337,-0.5823456224206801,-0.18728717764089936,0.14922719160814413
1110059E24Rik,-0.22362983935267458,-0.5562649329053487,-0.3300152209758771,0.005235389244449237
1110059G10Rik,-0.36007702704460826,-0.3779853844709437,-0.1684280942105998,-0.028716917952621063
1110065P20Rik,-0.15406520849845703,-0.21571445811155066,0.3263390128756188,0.054271168748145006
1190002F15Rik,-0.015077578228928211,-0.7855492148503178,-1.2688745530845424,0.14747738666038074
1190002N15Rik,0.026486873900765043,-0.05030049646384998,-0.3500315534943336,-0.05058532545273445
1190003K10Rik,0.0,0.005537249743377462,0.012012288145176546,0.032552185567926356
1190005I06Rik,0.28811244184185747,-0.058114533048017586,0.5713131988365281,-0.006347433138978713
1190007I07Rik,-0.014661182706188944,-0.291805166858205,-0.14203964014823614,-0.019444634130669648
1200014J11Rik,-0.14826757552129663,-0.1612189592629556,-0.16751018663764555,0.009436059151599011
1300002E11Rik,-0.2930925379883936,-0.22162624935740355,-0.3497046189498449,0.05827816979614173
1300002K09Rik,0.32085922191772714,0.13782860508042588,-0.2628315693436116,0.09279047359436392
1300017J02Rik,0.2559059636420359,-0.011039713987961185,0.1235929397874214,0.1617283651065891
1500004A13Rik,-0.417022654143844,-0.054079553581773444,0.04092472140827046,-0.10016705873961095
1500009C09Rik,-0.0006191514368813284,-0.15824733564380883,0.2972447299389586,-0.19233270254040602
1500009L16Rik,-0.04054459336279544,-0.30987049913744413,0.5540826963063461,-0.014239734410436076
1500011B03Rik,-0.4024590288337988,-0.1992345667475529,0.4020083011307695,-0.02332478476489703
1500011K16Rik,-0.21411421866781175,-0.4213433055501393,0.3319488620725895,0.13934064701980547
1500012F01Rik,0.6704045747882841,-0.23248327800961976,-0.3465442032335807,0.31388358996317395
1500012K07Rik,0.01892240798353018,-0.00036040439227495545,0.02383532442685784,-0.010991874649540058
1500015A07Rik,-0.15100096274601202,-0.02944962792554723,-0.21460144365426453,0.09303897864185552
1500015L24Rik,0.0,-0.0031652949256525775,0.0,0.007152744233862628
1500015O10Rik,-0.2884066361031071,0.42547487207205953,-0.27768568888997497,0.4616573764961765
1500017E21Rik,0.0012565877638869715,0.02569294158250034,-0.011471462967507385,-0.003557674796729183
1600002D24Rik,0.02580406252274031,-0.00045034022949150856,-0.018030050334543506,0.015916525641666
1600002H07Rik,-0.2218652680008404,-0.02005096302971223,-0.2885466245160334,0.13869946168549238
1600002K03Rik,-0.17389706207512146,0.0868791216888624,-0.07012621582420782,0.3245995619832914
1600010M07Rik,0.010946474282648456,-0.016277925595105134,0.05604410175352557,-0.006261532928917533
1600012H06Rik,-0.13167624938636094,0.04997945313578901,0.0016728234602435448,0.024064636933301693
1600014C10Rik,-0.5506196509742028,-0.040253830322704576,0.2858922874487204,0.08571449242803936
1600014C23Rik,0.26805057298833584,-0.012020666529714098,0.0010396758122051236,0.02888417830607167
1600014K23Rik,0.02452998681242604,0.0026537353050598237,0.006331510927643742,0.009538703422003778
1600015I10Rik,-0.0004968234744762725,-0.024288181144954433,0.004985093348889535,-0.021130611743370803
1600016N20Rik,0.5769371971109525,0.1540637827304254,-0.6176824104288683,0.12378901514569397
1600019K03Rik,0.0,0.0,0.0,0.0
1600020E01Rik,0.38974362478024854,0.22180003623658645,0.06957102447822375,0.4213662612904439
1600023N17Rik,-0.08496323401446569,-0.022409459343148787,0.10683964733669073,-0.05218177999511273
1600025M17Rik,0.03475856097089013,0.0,0.0,0.0
1600027J07Rik,0.01763823400576576,0.00897179168426763,0.0,-0.010327376694605045
1600029I14Rik,-0.058865489099085254,0.04494874666663054,-0.06357998630921245,0.07925669877000521
1600029O15Rik,-0.1903486510828935,-0.2422884541633534,-0.3380204663399411,-0.23285448916550308
1700001C02Rik,-0.10270272836963239,0.1283921054180784,-0.007489847318172728,0.09417403529656844
1700001C19Rik,0.245188648443152,0.021729718412060013,0.2787678187700022,0.1439715257359065
1700001D01Rik,0.0,0.007155181474651936,-0.0058498066099375,0.003390792916204708
1700001F09Rik,0.0,0.0,0.0,-0.003277285824391499
1700001G11Rik,-0.1985986106575609,-0.04229777792685002,0.023241833935823793,-0.05745331241008668
1700001G17Rik,-0.2550907682954686,-0.22642878072507525,-0.3082150801990645,-0.12107078588615554
1700001J03Rik,0.006054150445368533,-0.013072560210352902,0.023339644033389447,0.09058294413187398
1700001J11Rik,-0.008871477148143186,0.0,-0.006171807416532512,-0.0067156769765325
1700001K19Rik,0.03533583270331276,0.15806142000231682,0.03378556209935085,0.03464497579091581
1700001K23Rik,-0.022734820564003413,0.0030642979225692256,-0.07598912651902293,0.054203863499670546
1700001L05Rik,0.18907087414261914,0.1668331483147919,0.3937631846384585,0.06126754395790122
1700001L19Rik,-0.06139384431872625,0.2044863522037163,0.9527366863336973,-0.044486561638153774
1700001O22Rik,0.14472038225233547,0.0254588736858478,-0.5178283696586125,0.10268864194934221
1700001P01Rik,-0.05005962264300562,-0.041442240653543065,0.055374986366773196,0.08179713385443485
1700003C15Rik,0.0,0.0,0.0,0.0
1700003D09Rik,0.048399636447670376,0.23674791691368505,0.09855401354028125,0.40130176979414034
1700003E16Rik,-0.2575685370714525,0.25294306488865237,0.7666780020874967,-0.13620100259132825
1700003E24Rik,0.0,0.0,0.0,0.0
1700003F12Rik,0.08809095216011378,0.17534647984346588,-0.06899080164053155,0.157677423753129
1700003G13Rik,0.0,0.0,0.0,0.003390792916204708
1700003G18Rik,0.09486042512093013,0.021643926430372714,0.001046383937778913,-0.007460828481521094
1700003H04Rik,0.0,0.0,0.0,0.0
1700003L19Rik,-0.005132414317651395,0.017961934567127084,0.04491316943289214,0.0022468315159613625
1700003M02Rik,-0.4278411001018164,0.43405603813357724,-0.08694839919606025,0.020434639125943704
1700003M07Rik,-0.15388158740801297,0.10413364265028205,0.45076084287260054,-0.11215876665066098
1700003P14Rik,0.0,0.0035239523034780356,-0.00612991247937694,0.003737971541817104
1700006A11Rik,0.0,0.0,0.0,0.0
1700006E09Rik,-0.014138573058734994,0.0,-0.011560668892818307,-0.0032022667135714277
1700006F04Rik,0.0,-0.01365740615730146,-0.010324866966152722,-0.007667448031599837
1700006H21Rik,-0.004224242622311696,0.0035239523034780356,-0.012059211671616886,0.0
1700007B14Rik,0.019792568495592234,-0.12076968240268611,-0.035557281320734775,0.014320729168114391
1700007F19Rik,-0.024234560894021543,0.013634421925908724,0.011213295189926262,-0.02206905485109163
1700007G11Rik,-0.1859310061541794,0.08996485514696022,0.029956907694352268,0.09310718937761955
1700007J10Rik,0.425395682090014,0.35029527373517516,-0.09347992161047293,0.3020960253315989
1700007K09Rik,0.024691892470983447,0.010409619814227063,0.006134731780783568,0.10336179892259165
1700007K13Rik,-0.1573900107555098,0.12004235571724788,0.06687354070199122,-0.05298092798142996
1700007L15Rik,-0.1287223698812942,-0.11771753189240648,-0.14916788771544331,0.04313255180430435
1700007P06Rik,0.0,0.03146267230519115,0.013212048285527063,-0.026705096443189726
1700008F21Rik,0.006105581887898538,0.007117685830335269,-0.017909018281554383,-0.0057527882764282145
1700008I05Rik,-0.030924528657982977,-0.014515816957356072,-0.0065226454318745705,-0.001455773561768874
1700008J07Rik,-0.3028067453605146,-0.24026492743270156,-0.6415280331878314,-0.005466516642360336
1700008K24Rik,0.011455732337814802,0.019938567240469527,0.07789322323306319,0.048918997789296856
1700008O03Rik,0.1893381972743339,0.2027789367489973,0.41377051465221487,0.4280757324274847
1700008P02Rik,0.0,0.0,0.0,0.0026458974944209585
1700009C05Rik,-0.028889597128661338,-0.004476804772056024,0.00011699278928943098,-0.023831413461700826
1700009J07Rik,-0.010568179413996454,0.029566705076793386,0.013210328208564392,-0.008243782958089337
1700009N14Rik,-0.01708508264642262,0.004652083662655515,0.0,0.011665586722227773
1700009P17Rik,-0.45573011656143314,0.5662579107128043,-0.6476318199608411,0.06994887150931509
1700010B08Rik,0.022694029119376926,-0.007423971490196413,0.006793073999807704,0.008349939357523895
1700010D01Rik,0.0058891524130717425,0.0,0.005877556364392976,0.0
1700010I02Rik,0.0,0.0,0.0,0.0
1700010I14Rik,-0.26620793074815097,-0.0804732278007869,-0.18951060470731815,-0.06571273414189259
1700010J16Rik,-0.004848994124011566,0.0,0.005773966249908927,0.023086315528557003
1700010K23Rik,0.006105581887898538,-0.004289368344759049,0.0,0.022515963386890204
1700011A15Rik,0.04738737874444688,0.0,0.02346364112925428,0.0031909351241038103
1700011B04Rik,0.0,0.0,0.0054670066301128395,0.0038754584094711293
1700011E24Rik,-0.007196735306978141,-0.02148721259055746,-0.035490748391428045,0.006902203409263934
1700011H14Rik,0.006204867733004787,0.04654158486015104,-0.007408758648360921,0.04524430713133624
1700011I03Rik,0.02437274143864073,0.06996830233966171,-0.013055352803341379,-0.05896680987391838
1700011L22Rik,0.062008130913804506,-0.01900934163490734,-0.02766807038987735,0.015550342272893165
1700011M02Rik,0.0,0.009230977480151704,0.0,0.010839125454258981
1700012A03Rik,0.005893123201684896,-0.007816211453459135,0.000982126656681939,-0.003277285824391499
1700012B07Rik,0.0,0.02619832083858661,0.0,0.007020351123910199
1700012B09Rik,-0.15138487014973684,0.03818038915676317,-0.11894964645751165,0.1362115907516218
1700012D01Rik,0.0526901252465518,0.12564798876527747,0.07556250730283083,0.22004192790249696
1700012D14Rik,-0.13224565044596626,0.02990129788190339,-0.23063289463021702,-0.026073853648723236
1700012I11Rik,-0.0051758184688815035,0.01945905622519305,0.012581263704908979,-0.0021874870422065327
1700012L04Rik,0.04655405548168838,-0.010657376215187064,0.005761257682252376,0.0023407618070731655
1700012P22Rik,-0.02547771089970145,0.011653237303090183,-0.01218915435428609,0.003629558207705491
1700013D24Rik,-0.0051758184688815035,0.0,0.011614862793745975,0.0013861006049678166
1700013F07Rik,-0.25883213521023746,0.19612262132290387,0.09308006327323474,0.015953580916772854
1700013G24Rik,0.0,0.013149085089773237,0.0,0.0
1700013H16Rik,-0.004058309119835107,-0.02560895369433733,-0.024431663713428958,0.0045610383999952165
1700015E13Rik,0.09303964049652959,0.1271105619810717,-0.01584658845287358,0.016354914814699393
1700015F17Rik,0.04772935979193243,-0.045824046641713384,0.005516222724410885,0.025474733968860682
1700015G11Rik,0.0,0.005537249743377462,0.012012288145176546,0.0
1700016C15Rik,0.012323540975835965,0.05436655220414603,0.022894657646264933,0.04694998203975003
1700016D06Rik,0.006195558302909545,-0.006092896419423846,-0.011201758825329889,0.01746029667658256
1700016G22Rik,0.0,0.004025211592965683,0.0,0.00012061040666261359
1700016H13Rik,0.04367254485380992,-0.006554496044657003,0.16424535818426364,0.01321431068649335
1700016K19Rik,-0.45203310710418343,0.23265431942711054,0.21496431177824185,-0.03354950297832145
1700016L04Rik,-0.05712523557333501,-0.007099004504946937,0.08635271971783433,0.031836593022678536
1700016L21Rik,0.0,-0.003976904656489347,0.0,0.0
1700016P04Rik,0.0,0.0,-0.005699071274952511,0.0038189905365153655
1700017B05Rik,0.09096625857045078,0.001438056164036451,-0.4888849176790617,0.2097251595054123
1700017D01Rik,0.0,0.0,0.0,0.0
