rank,gene_name,perturbation_E15,perturbation_P0,perturbation_P13,mean_perturbation,transferability,rank_score,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
77,Cpne5,0.26925576,0.4578567,0.057755057,0.26162252,0.9764494,0.25546116,0.704597,0.6231633,1.0,0.40927988,0.36229223
78,Cadps2,0.43052033,0.28737733,0.067952655,0.2619501,0.9747535,0.2553368,0.7704351,0.6682957,1.0,0.48378494,0.33945835
79,Gm26871,0.2594209,0.3482323,0.18738781,0.26501366,0.9620372,0.254953,0.634841,0.4428458,1.0,0.44291463,0.0626472
80,L3mbtl1,0.18533929,0.5875415,0.016184947,0.26302192,0.96875733,0.2548044,0.8102074,0.56479627,1.0,0.23870562,0.1311461
81,Rpl32,0.14479138,0.5250309,0.09957048,0.25646424,0.99287003,0.25463566,0.27415457,0.39096624,1.0,0.4434876,0.5719184
82,Npy,0.30263343,0.34390253,0.11854382,0.2550266,0.996664,0.25417584,0.49075386,0.582687,1.0,0.6874256,0.38703397
83,Gm9916,0.33851457,0.2995886,0.13942808,0.25917706,0.98008955,0.25401673,0.6276007,0.43186018,1.0,0.46735603,0.062016446
84,Egr1,0.09347092,0.29303935,0.38802594,0.25817874,0.9838267,0.25400314,0.89987683,0.7992218,1.0,0.59541446,0.34557873
85,Adra1a,0.25682205,0.48037422,0.025545103,0.25424713,0.99875295,0.25393006,0.7845631,0.6424055,1.0,0.3463216,0.14246011
86,Entpd3,0.1514745,0.5221866,0.11619035,0.26328382,0.96435064,0.2538979,0.5427729,0.55873686,1.0,0.9397385,0.14476307
87,Ubb,0.047568012,0.6409432,0.10362394,0.26404506,0.95906836,0.25323725,0.34041852,0.46698034,1.0,0.49394718,0.79539204
88,E430024P14Rik,0.29392016,0.4849204,2.914122e-05,0.25962323,0.9740538,0.25288698,0.5670713,0.49371833,1.0,0.8017491,0.08247754
89,Arpp21,0.21324036,0.51517034,0.035213336,0.25454137,0.988484,0.25161007,0.6514842,0.6260102,1.0,0.75100154,0.50705904
90,Sgol1,0.38496208,0.32964832,0.07012371,0.26157805,0.96157324,0.25152645,0.33750877,0.29342833,1.0,0.4359229,0.1461225
91,Ebf1,0.15578893,0.5723486,0.04781349,0.25865033,0.97192395,0.25138846,0.33158103,0.33353457,1.0,0.74172205,0.23112616
92,Cyp26b1,0.42141917,0.21270324,0.13585888,0.25666043,0.9770847,0.25077897,0.62379676,0.47550616,1.0,0.74660856,0.27002817
93,Emx2,0.42425457,0.14644447,0.22987542,0.26685813,0.9371721,0.250092,0.39584854,0.43444905,1.0,0.90967566,0.28238943
94,Adam12,0.35599303,0.28121418,0.115018554,0.25074193,0.9957673,0.24968061,0.568181,0.42047587,1.0,0.7920171,0.20532718
95,Arntl2,0.29696658,0.3090898,0.16611515,0.25739053,0.96971387,0.24959517,0.71795857,0.5466615,1.0,0.42010576,0.13724321
